Category,Survey Question,Aspired answer,Provided Answer,Provided Answer,Follow-up Question 
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,A variety that i can plant twice with an year,Partial/Indirect,How many months would each season take?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,It matures early even if the rains are short,Partial/Indirect,How many months /days would that be?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Katumani is early maturing,Partial/Indirect,How many months/days does Katumani take?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,"I planted it last year and harvested in August, that was early",Partial/Indirect,What time did you plant last year?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,The one I can eat green maize after two months,Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,A variety that takes 4 months to produce flowers,Attempts that miss key points,When the variety is at flowering stage is it possible for it to be harvested for consumption or sale?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,"A variety that after planting, takes 4 months to grow enough to be harvested",Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,A variety that 3 to 4 months before it's ready to be eaten,Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,"This season i planted Sungura which matures very fast, about 75 to 85 days",Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,,,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,,,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It takes 90 days from planting to harvesting,Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It takes around 3 to 4 months depending on the rains,incomplete,"In most occassions, does the variety take 3 months or 4 months to mature?"
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"It doesn’t take too long, maybe a few months",incomplete,Could you please estimate the number of days it takes to mature?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"I’m not sure, I just harvest when it’s ready",incomplete,"In most cases, after how long is it usually ready? How many days or month?"
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"it takes too long, sometimes more than half of the year",Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"If i plant in March, i harvest in August",Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"If i plant in March, i harvest in August",incomplete,How many days after planting does that usually happen?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It takes a long time,incomplete,How many months or days would you say that is?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It doesn’t take too long,incomplete,Please estimate how many days or moths it take to mature
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It usually matures in 90 to 120 days,Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It usualy takes 3 months but sometimes longer when rains delay,incomplete,When rains delay how long does it take?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It’s not too early and not too late,incomplete,Could you estimate how long in days or months it takes?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,Sometimes it matures faster other times it delays depending on the weather,incomplete,how many days does it take to mature on a normal season
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,Around the time we start harvesting beans,Partial/Indirect,How many days does beans take to mature?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,I grow Duma and I am able to harvest in 85 to 90 days,Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"Even with little rain, the maize I grow is ready for harvest in less than 90 days",Partial/Indirect,What is the name of the variety?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"It takes around 90 days, then I can harvest",Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"It matures in 3 months or less, around 85 to 90 days",Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"If the rains are good, it takes 90 days, but if the rains are not that food it will mature faster, in 80 days",Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"This one I grew this season, matured very fast, than what I grew in the previous seasons",Partial/Indirect,How many days did it take you to harvest?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,Two and a half months then we can eat green maize,Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It’s usually ready before Christmas,Partial/Indirect,When do you plant?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer, We harvest In August if planted in April,Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It’s ready before the short rains end,Partial/Indirect,When do you pland and when do you harvest?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,"It depends, sometimes 3 months, sometimes 4 if rains are bad",Complete,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,It takes around 6 months ,Incomplete,Please describe the level of readines of crop after the 6 months
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,About a month after I harvest beans,Vague answer,How many days or months does the maize approximately to harvest compared to the beans?
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,,,
Early maturity,How long does the maize you currently grow take to mature? ,range of days the maize is normally in the field for a farmer,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I would accept loosing 10% of my yield to harvest earlier,Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"I wouldn't give up any yield, I would rather harvest late",Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,Loosing 1 to 2 bags is okay for more so long i escape the dry spell,Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I would only give up a little of my harvest,incomplete,How much is a little? Can you estimate the quantity in bags or percentage of your harvest
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I could give up about one bag per acre,Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I could give a few bags per acre,incomplete,Approximately how many bags per acre would you give up to harvest earlier?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I would give up few sacks in order to harvest before drought,Incomplete,How many sacks would that be?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I'm fine planting early maturity variety even if it gives 6bags less than late maturing variety,Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"No yield loss, since i rely on the harvests form my household",Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I’m okay losing some yield if I can earn more by selling green maize ealier than my neighbours,incomplete,"If you are able to earn more from selling green maize earlier, how many bags out of every 10 would you be willing to give up?"
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,I would rather loose a little than loose everything to drought,incomplete,How may bags of maize per acre would you be willing to loose?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"Even when the rain is not sufficient, the variety still performs well and gives me a harvest",Simple but incomplete,"Compared to a normal rainy season, how many bags did you get this time?"
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"This year the drought was really bad, I harvested much less than usual. I managed to harvest 12 bags from my 1 acre. ",Simple but incomplete,How many bags of maize would you harvest in a good season?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"Even if I lose some yield, that is okay, because last year, I barely got any harvest ",Simple but incomplete,How many bags did you get with the early maturing variety you grew this time?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"I can lose 5 bags, more than that, will be too much",Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,As long as i dont loss more that 10% of the harvest,Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,Utmost Ksh 3000 worth of yield for each earlier cycle I supply the miller ,Partial/Indirect,How many cycles per year do you currently supply the miller?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,Utmost one 90kg bag per 1/4 of an acre,Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"If I can eat in June, yield doesn’t matter much",incomplete,How much  bags would you be willing to lose if the maize is ready by June
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"The early ones don’t give as many bags, but I prefer them",incomplete,How many bags would you give up in an acre for the earliness?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"I can’t lose yield, food is not enough",Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,"I know early maize gives less, maybe two bags less per acre",Complete,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,It depends on the rains,incomplete,How many bagd are you willing to give when the rains are scarce?
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,How much yield would you give up for harvesting earlier? ,number of bags per days earlier,,,
Early maturity,Have you noticed any yield difference depending on a variety's maturity period?,Yes or No,Yes,,
Early maturity,Have you noticed any yield difference depending on a variety's maturity period?,Yes or No,No,,
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,I harvest 3 bags less with Katumani compared to Duma 43,Complete,
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,The yield loss is significant ,Incomplete,How many bags do you loose when you plant an earlier maturing variety 
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,The yield loss is  not significant ,Incomplete,How many bags do you loose when you plant an earlier maturing variety 
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,It  depends on the season,Incomplete,How many bags do you loose when you plant an earlier maturing variety in a good season? How many bags do you loose when you plant an earlier maturing variety during a drouhgt season? 
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,,,
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,,,
Early maturity,How much yield do you lose when you plant an earlier maturing variety than normal?,number of bags per days earlier,,,
