Category	Survey Question	Provided Answer
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	When leaves look too spotted.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	If many cobs rot, I’m done.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Around one in ten plants.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Not much.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Only light attacks.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	No more than 10% of plants with moderate or worse damage at peak.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Reject if >15% of plants show moderate foliar disease by tasseling.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Stop using it if >10% ears have rot at harvest.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	I sprayed once with a pyrethroid.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Our neighbor’s field had worse worms.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	The agro-dealer said this seed resists disease.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	Only a small amount.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	If it’s more than I’m used to.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	When it starts to show too much.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	As long as I can cover costs.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Better than my local seed in a dry year.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Enough to keep seed next season.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	About ten bags.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Two tonnes.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Close to my normal harvest.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	At least 10 bags/acre (≈2.2 t/ha) even with a 2‑week dry spell.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	No less than 2.5 t/ha after a 2–3 week mid-season dry spell.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Keep if I get ≥9 bags/acre (≈2.0 t/ha) despite a 3‑week dry spell.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	We mulched this season.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	The borehole is far from this plot.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	I planted a week earlier than usual.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Close to my normal.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Enough to make it worthwhile.
Drought tolerance	If there’s a two- or three-week dry spell, what harvest would you still be happy with?	Something decent for a dry year.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	If it beats what my neighbors get.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	If I still have grain to sell.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	If I don’t need a food loan.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	About six bags.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	One and a half tonnes.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	Half my good-year harvest.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	≥6 bags/acre (≈1.3 t/ha) in a bad year.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	At least 60% of my good-year yield; my good year is 12 bags/acre, so ≥7 bags/acre.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	Minimum 1.8 t/ha in a poor season or I switch varieties.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	We usually sell to the same trader.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	Storage space is limited at home.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	I prefer white grain for the market.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	About half of a good year.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	What I can live with.
Bad-year minimum yield	In a bad year, what is the smallest harvest you would accept and still plant this maize again?	The minimum to cover costs.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	I don’t like much falling.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	If it slows picking, it’s too much.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Just a few bent stalks is okay.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	About five percent.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Very little.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	One or two per row.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	≤5% total lodging (stalk + root) at harvest.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	No more than 3% broken stalks and 2% root-lodged.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Accept ≤5% leaning or fallen plants when we pick.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	We stake beans but not maize.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	The wind was strong this July.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Cattle sometimes pass along the edge.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Just a few.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Very little, ideally.
Lodging	What is the most fallen or leaning plants you can accept at harvest?	Only what doesn’t slow us down.
Flowering time	How many days after planting should the maize start to flower for your needs?	Not too late for the rains.
Flowering time	How many days after planting should the maize start to flower for your needs?	Soon after the first topdressing.
Flowering time	How many days after planting should the maize start to flower for your needs?	Earlier than my old one.
Flowering time	How many days after planting should the maize start to flower for your needs?	About two months.
Flowering time	How many days after planting should the maize start to flower for your needs?	Sixties.
Flowering time	How many days after planting should the maize start to flower for your needs?	Before the long dry spell.
Flowering time	How many days after planting should the maize start to flower for your needs?	Start silking at ~60–65 days after planting.
Flowering time	How many days after planting should the maize start to flower for your needs?	Flower by day 62 so it matches our rains.
Flowering time	How many days after planting should the maize start to flower for your needs?	Target silks by 60–64 days.
Flowering time	How many days after planting should the maize start to flower for your needs?	I topdress around a month after planting.
Flowering time	How many days after planting should the maize start to flower for your needs?	The long rains came late this year.
Flowering time	How many days after planting should the maize start to flower for your needs?	My old variety was medium-maturing.
Flowering time	How many days after planting should the maize start to flower for your needs?	Roughly two months.
Flowering time	How many days after planting should the maize start to flower for your needs?	Soon after the first topdressing.
Flowering time	How many days after planting should the maize start to flower for your needs?	Before the heavy dry spell.
Harvest time	By when should the maize be ready to harvest for your conditions?	Before the heavy short-rains storms.
Harvest time	By when should the maize be ready to harvest for your conditions?	In time for school fees.
Harvest time	By when should the maize be ready to harvest for your conditions?	Before storage pests get bad.
Harvest time	By when should the maize be ready to harvest for your conditions?	Around four months.
Harvest time	By when should the maize be ready to harvest for your conditions?	By August.
Harvest time	By when should the maize be ready to harvest for your conditions?	Early, not late.
Harvest time	By when should the maize be ready to harvest for your conditions?	Harvest by 120–130 days after planting.
Harvest time	By when should the maize be ready to harvest for your conditions?	Ready by late August for long-rains planting in April.
Harvest time	By when should the maize be ready to harvest for your conditions?	Dry enough to shell by ~125 days under normal weather.
Harvest time	By when should the maize be ready to harvest for your conditions?	We have a small crib for drying.
Harvest time	By when should the maize be ready to harvest for your conditions?	School fees are due in September.
Harvest time	By when should the maize be ready to harvest for your conditions?	The road to the market is rough.
Harvest time	By when should the maize be ready to harvest for your conditions?	Around four months.
Harvest time	By when should the maize be ready to harvest for your conditions?	Before the short rains get strong.
Harvest time	By when should the maize be ready to harvest for your conditions?	By the time schools reopen.
Yield components (ears/plant)	How many ears per plant do you prefer?	A good cob on each plant.
Yield components (ears/plant)	How many ears per plant do you prefer?	More cobs are fine if they fill.
Yield components (ears/plant)	How many ears per plant do you prefer?	Not too many small cobs.
Yield components (ears/plant)	How many ears per plant do you prefer?	One.
Yield components (ears/plant)	How many ears per plant do you prefer?	One, sometimes two.
Yield components (ears/plant)	How many ears per plant do you prefer?	Big ears.
Yield components (ears/plant)	How many ears per plant do you prefer?	One ear per plant, well-filled.
Yield components (ears/plant)	How many ears per plant do you prefer?	Prefer 1; 2 is fine only if both are full size.
Yield components (ears/plant)	How many ears per plant do you prefer?	1 ear/plant consistently, rather than two small ones.
Yield components (ears/plant)	How many ears per plant do you prefer?	We shell by hand.
Yield components (ears/plant)	How many ears per plant do you prefer?	Buyers here pay more for clean grain.
Yield components (ears/plant)	How many ears per plant do you prefer?	I like deep yellow kernels for feed.
Yield components (ears/plant)	How many ears per plant do you prefer?	Usually one.
Yield components (ears/plant)	How many ears per plant do you prefer?	One, maybe two if they fill.
Yield components (ears/plant)	How many ears per plant do you prefer?	One good cob per plant.
