id,specificity,detail,usability,clarity,completeness,relevance,overall_score,canonical_json,question,answer
line86,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line87,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line88,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line89,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line90,High,High,Medium,High,Medium,High,50,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":50}",Have you noticed any yield difference depending on a variety's maturity period?,Yes
line91,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",Have you noticed any yield difference depending on a variety's maturity period?,No
line92,High,High,Medium,Medium,Medium,High,35,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":35}",How much yield do you lose when you plant an earlier maturing variety than normal?,I harvest 3 bags less with Katumani compared to Duma 43
line93,High,Medium,Low,Medium,Low,High,45,"{""detail"":""Medium"",""specificity"":""High"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":45}",How much yield do you lose when you plant an earlier maturing variety than normal?,The yield loss is significant
line94,Low,Low,Low,Medium,Low,High,30,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":30}",How much yield do you lose when you plant an earlier maturing variety than normal?,The yield loss is  not significant
line95,Low,Low,Low,Low,Low,Medium,25,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":25}",How much yield do you lose when you plant an earlier maturing variety than normal?,It  depends on the season
line96,Low,Low,Low,Medium,Low,Medium,30,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":30}",How much yield do you lose when you plant an earlier maturing variety than normal?,Most of them came up fine.
line97,Low,Low,Low,Medium,Low,Medium,30,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":30}",How much yield do you lose when you plant an earlier maturing variety than normal?,Most of them came up fine.
line98,Low,Low,Low,Medium,Low,Medium,30,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":30}",How much yield do you lose when you plant an earlier maturing variety than normal?,Most of them came up fine.
